Row Labels,Sum of money,,,,,,,,,,
Latte,11405,,,,,,,,,,
Americano with Milk,11198.5,,,,,,,,,,
Cappuccino,8744.4,,,,,,,,,,
Americano,5657.42,,,,,,,,,,
Cortado,3711.92,,,,,,,,,,
Hot Chocolate,2975.4,,,,,,,,,,
Cocoa,1821.06,,,,,,,,,,
Espresso,1354.3,,,,,,,,,,
Grand Total,46868,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Row Labels,Count of card,,,,,,,,,,
Americano with Milk,346,,,,,,,,,,
Latte,291,,,,,,,,,,
Cappuccino,224,,,,,,,,,,
Americano,199,,,,,,,,,,
Cortado,136,,,,,,,,,,
Hot Chocolate,74,,,,,,,,,,z
Espresso,58,,,,,,,,,,
Cocoa,47,,,,,,,,,,
Grand Total,1375,,,,,,,,,,
